S/N,APPLICANT NAME,CERTIFICATE HOLDER,EQUIPMENT NAME,MODELS,MANUFACTURER
1,ALCATEL,ALCATEL,ALCATEL,OT 300,ALCATEL
2,ALCATEL,ALCATEL,ALCATEL,OT 303,ALCATEL
3,ALCATEL,ALCATEL,ALCATEL,OT 311,ALCATEL
4,ALCATEL,ALCATEL,ALCATEL,OT 320,ALCATEL
5,ALCATEL,ALCATEL,ALCATEL,OT 501,ALCATEL
6,ALCATEL,ALCATEL,ALCATEL,OT 701,ALCATEL
7,ALCATEL,ALCATEL,ALCATEL,OT 715,ALCATEL
8,AVVIO,AVVIO,AVVIO,C802P CDMA DESKTOP,AVVIO
9,AVVIO,AVVIO,AVVIO,G201 GSM DESKTOP,AVVIO
10,FLY,FLY,FLY,MX 200,FLY
11,FLY,FLY,FLY,MX 2040I,FLY
12,FLY,FLY,FLY,MX 300,FLY
13,FLY,FLY,FLY,SL 500I,FLY
14,FLY,FLY,FLY,SX210,FLY
15,FLY,FLY,FLY,V60,FLY
16,1401 TRADING LTD.,XIAOMI COMMUNICATIONS,MI GSM MOBILE PHONES,MI 4(2015215),XIAOMI COMMUNICATIONS CO. LTD
17,1401 TRADING LTD.,1401 TRADING LTD,LEAGOO SMART PHONE,KIICAA POWER,"SHENZHEN LEAGOO INTELLIGENCE CO., LIMITED"
18,1401 TRADING LTD.,1401 TRADING LTD,LEAGOO SMART PHONE,LEAGOO T5C,"SHENZHEN LEAGOO INTELLIGENCE CO., LIMITED"
19,1401 Trading Ltd.,Xiaomi Communications,Mi GSM Mobile Phones,MI 4(2015215),XIAOMI COMMUNICATIONS CO. LTD
20,1401 TRADING LTD.,1401 TRADING LTD,MI GSM MOBILE PHONES,MI 5 (2015105),XIAOMI COMMUNICATIONS CO. LTD
21,1401 TRADING LTD.,1401 TRADING LTD,CUBOT SMART PHONE,R9,SHENZHEN HUAFURUI THECHNOLOGY CO. LTD
22,1401 TRADING LTD.,1401 TRADING LTD,MI GSM MOBILE PHONES,RED MI NOTE 2(2015051),XIAOMI COMMUNICATIONS CO. LTD
23,1401 TRADING LTD.,1401 TRADING LTD,MI GSM MOBILE PHONES,RED MI NOTE 3(2015116),XIAOMI COMMUNICATIONS CO. LTD
24,1401 TRADING LTD.,XIAOMI COMMUNICATIONS,MI GSM MOBILE PHONES,"RED MI(22014818), MI 4I(2015015)",XIAOMI COMMUNICATIONS CO. LTD
25,1401 TRADING LTD.,1401 TRADING LTD,XIAOMI MOBILE PHONES,REDMI 4 (2016117),XIAOMI COMMUNICATIONS CO. LTD
26,1401 TRADING LTD.,1401 TRADING LTD,OUKITEL SMART PHONE,U22,"SHENZHEN YUNJI INTELLIGENT TECHNOLOGY CO., LTD.????"
27,3D DIGITAL TECHNOLOGIES,TCL COMMUNICATIONS LIMITED,GSM HANDHELD/MOBILE PHONE/GSM QUAD BAND MOBILE PHONE/GSM QUAD BAND,"4034F,7070Q,2008D, 2051D",TCL COMMUNICATIONS LIMITED
28,3D DIGITAL TECHNOLOGIES,TCT MOBILE EUROPE SAS,ALCATEL MOBILE PHONES,"5045D, 5056D, 4017D, 8050D, 9003X",TCT MOBILE EUROPE SAS
29,3D DIGITAL TECHNOLOGIES,TCL COMMUNICATIONS LIMITED,ALCATEL GSM PHONES,"9025Q,  5095K, 9001D, 6055K, 5010U, 1054D, 5012F, 5051D6070K, 5023F, 9015Q",TCL COMMUNICATIONS LIMITED
30,3WAY COMMUNICATIONS LTD.,SHENZHEN WELLSS TECHNOLOGY CO. LTD.,SEITI DUAL SIM GSM MOBILE PHONE,W200,SHENZHEN WELLS TECH. CO. LTD.
31,5M GLOBAL LLC,5M GLOBAL LLC,SMART PHONE,W-P861-03,WIKO SAS
32,5M GLOBAL LLC,WIKO SAS,SMART PHONE,W-V673-02,WIKO SAS
33,5M GLOBAL LLC,INVENTUS GROUP LTD,Smartphone,CT1,INVENTUS GROUP LTD
34,A3 & O WIRELESS LIMITED,HI TECH COMPUTER (HTC),HTC,MTEOR,HI TECH COMPUTER  ( HTC)
35,A3 & O WIRELESS LIMITED,HI TECH COMPUTER (HTC),HTC,P4350,HI TECH COMPUTER  ( HTC)
36,A3 & O WIRELESS LIMITED,HI TECH COMPUTER (HTC),HTC,S310,HI TECH COMPUTER  ( HTC)
37,A3 & O WIRELESS LIMITED,HI TECH COMPUTER (HTC),HTC,S620,HI TECH COMPUTER  ( HTC)
38,A3 & O WIRELESS LIMITED,HI TECH COMPUTER (HTC),HTC,TYTN,HI TECH COMPUTER  ( HTC)
39,AFRICAN PREPAID SERVICES NIGERIA LIMITED,AFRICAN PREPAID SERVICES NIGERIA LIMITED,SHARED PHONE,SPI009,AFRICAN PREPAID SERVICES NIGERIA LIMITED
40,AFRIFONE LIMITED,AFRIONE MOBILE,AFRIONE MOBILE PHONE,CHAMPION,AFRIONE MOBILE
41,AFRIFONE LIMITED,AFRIFONE LIMITED,AFRIONE MOBILE PHONE,GRAVITY Z1,AFRIFONE LIMITED
42,AFRIFONE LIMITED,AFRIFONE LIMITED,MOBILE PHONE,CYGNUS X,HK REXSO COM TECH CO. LIMITED | AFRIFONE LTD(ASSEMBLY PLANT)
43,AFRIONE LIMITED,AFRIONE LIMITED,MOBILE PHONE,CYGNUS,"SHENZHEN JIANZHI COMMUNICATION EQUIPMENT CO., LTD"
44,AFRIONE LIMITED,AFRIONE LIMITED,MOBILE PHONE,PUNCH2,"SHENZHEN JIANZHI COMMUNICATION EQUIPMENT CO., LTD"
45,AFRIONE LIMITED,AFRIONE LIMITED,MOBILE PHONE,SAVU,"SHENZHEN JIANZHI COMMUNICATION EQUIPMENT CO., LTD"
46,AFRIONE LTD,AFRIONE LTD,AFRIONE,"NAIJA 1, PUNCH, CHAMPION PRO, GRAVITY Z2",AFRIONE LTD
47,Agilent Wireless Limited,Agilent Wireless Limited,Radar,R806C,Agilent Wireless Limited
48,AIRTEL NETWORK LIMITED,AIRTEL NETWORK LIMITED,AIRTEL  GSM MOBILE PHONE,RED (ASM-500),VIROYAL TECHNOLOGY (HONG KONG) LIMITED
49,Alcatel,Alcatel,Alcatel  MOBILE PHONE,525,Alcatel
50,Alcatel,Alcatel,Alcatel  MOBILE PHONE,OT 302,Alcatel
51,Alcatel,Alcatel,Alcatel  MOBILE PHONE,OT 511,Alcatel
52,Alcatel,Alcatel,Alcatel  MOBILE PHONE,OT 520,Alcatel
53,Alcatel,Alcatel,Alcatel  MOBILE PHONE,OT 535,Alcatel
54,ALCATEL BLACKBERRY,ALCATEL BLACKBERRY,ALCATEL BLACKBERRY,8120 (RBR41GW),RESEARCH IN MOTION
55,ALCATEL BLACKBERRY,ALCATEL BLACKBERRY,ALCATEL BLACKBERRY,8900 (RBR41GW),RESEARCH IN MOTION
56,AMIOSONIC,AMIOSONIC,Amiosonic MOBILE PHONE,A10,AMIOSONIC
57,AMIOSONIC,AMIOSONIC,Amiosonic MOBILE PHONE,A6,AMIOSONIC
58,AMIOSONIC,AMIOSONIC,AMIOSONIC,A8,AMIOSONIC
59,AMIOSONIC,AMIOSONIC,AMIOSONIC,A8698,AMIOSONIC
60,ANABEL,ANABEL,Anabel Mobile,PS100,Anabel
61,ANABEL,ANABEL,Anabel Mobile,PS185Y,Anabel
62,ANABEL,ANABEL,Anabel Mobile,PS200,Anabel
63,ANABEL,ANABEL,Anabel Mobile,PS212Y,Anabel
64,ANABEL,ANABEL,Anabel Mobile,Quaz,Anabel
65,APPLE,APPLE,APPLE,IPHONE 3G A1241,APPLE INC.
66,Apple Inc.,Apple Inc.,iphone,iPhone 3G A1241,Apple Inc.
67,APPLICANT,CERTIFICATE HOLDER,EQUIPMENT NAME,MODELS,MANUFACTURER
68,Approval Team Nigeria,"InFocus Consumer International PTE, Limited",Feature Mobile Phone,IF130,"Piangxiang Ruiwei Technology Co., Ltd"
69,APPROVAL TEAM NIGERIA LIMITED,INFOCUS CONSUMER INTERNATIONAL PTE. LIMITED,FEATURE MOBILE PHONE,FB4061D,INFOCUS CONSUMER INTERNATIONAL PTE. LIMITED
70,APPROVAL TEAM NIGERIA LIMITED,INFOCUS CONSUMER INTERNATIONAL PTE. LIMITED,GSM DUAL BAND MOBILE PHONE,IF9059,INFOCUS CONSUMER INTERNATIONAL PTE. LIMITED
71,APPROVAL TEAM NIGERIA LIMITED,INFOUS CONSUMER INTERNATIONAL PTE.LIMITED,GSM MOBILE PHONE,IF9060,"INFOCUS CONSUMER INTERNATIONAL PTE, LIMITED"
72,APPROVAL TEAM NIGERIA LIMITED,INFOUS CONSUMER INTERNATIONAL PTE.LIMITED,GSM MOBILE PHONE,IF9061,"GUIZHOU FORTUNESHIP TECHNOLOGY CO., LTD"
73,APPROVAL TEAM NIGERIA LIMITED,INFOCUS CONSUMER INTERNATIONAL PTE. LIMITED,GSM DUAL BAND MOBILE PHONE,IF9063,"PANASONIC AUTOMOTIVE SYSTEMS ASIA PACIFIC, CO. LTD"
74,APPROVAL TEAM NIGERIA LIMITED,INFOCUS CONSUMER INTERNATIONAL PTE. LIMITED,FEATURE MOBILE PHONE,IF9064,INFOCUS CONSUMER INTERNATIONAL PTE. LIMITED
75,APPROVAL TEAM NIGERIA LIMITED,SHURE INCORPORATED,TRUE WIRELESS EARPHONE,ITW-L,SHURE INCORPORATED
76,APPROVAL TEAM NIGERIA LIMITED,SHURE INCORPORATED,TRUE WIRELESS EARPHONE,ITW-R,SHURE INCORPORATED
77,APPROVAL TEAM NIGERIA LIMITED,SKYWORTH WIRELESS HONG KONG LIMITED,2 SMART PHONES,M100  & M1000,SKYWORTH WIRELESS HONG KONG LIMITED
78,APPROVAL TEAM NIGERIA LIMITED,SHURE INCORPORATED,WIRELESS HEADPHONES,SBH2240,SHURE INCORPORATED
79,APPROVAL TEAM NIGERIA LIMITED,"SAMSUNG ELECTRONICS CO., LTD.",MOBILE PHONE (CELLULAR FUNCTIONS DISABLED),SM-A102U1,"SAMSUNG ELECTRONICS CO., LTD."
80,APPROVAL TEAM NIGERIA LTD,"DDM BRANDS, LLC",YEZZ MOBILE PHONE(3G SMARTPHONE),"BILLY 4.7, BILLY 4, ANDY A6M, ANDY 5E1, ANDY A5QP, ANDY 5T, ANDY C3.5E1",DDM BRANDS
81,APPROVAL TEAM NIGERIA LTD,"DDM BRANDS, LLC",YEZZ MOBILE PHONE(2G CELLPHONE),"CLASSIC C50, CLASSIC C21",DDM BRANDS
82,APPROVAL TEAM NIGERIA LTD,BLACKBERRY LIMITED,STH100-2 SMARTPHONE WIRELESS HANDHELD,RJD211LW,BLACKBERRY LIMITED
83,APPROVAL TEAM NIGERIA LTD,PEPPERL FUCHS AG,ECOM SMARTPHONE,SMART-EX 02,PEPPERL FUCHS AG
84,APPROVAL TEAM! NIGERIA LIMITED,LG ELECTRONICS INC.,SIGNAGE WEBOS BOX (WITH WIRELESS MODULE),WP402,LG ELECTRONICS INC.
85,ARCHOS S.A,ARCHOS S.A,"59 TITANIUM SMARTPHONE ,  50B PLATINIUM SMARTPHONE","AC59TI, AC50BPL","ARCHOS SA, ARCHOS SHENZHEN FACTORY"
86,ASIATELCO TECHNOLOGIES CO,ASIATELCO TECHNOLOGIES CO,ATEL FIXED WIRELESS PHONE,AWP-AE80I,ASIATELCO TECHNOLOGIES CO
87,BAI ZHENG DEVICE LIMITED,BAI ZHENG DEVICE LIMITED,Vivo Mobile Phone,1933 (V19),Vivo Mobile Communications Co. Limited
88,BAI ZHENG DEVICE LIMITED,BAI ZHENG DEVICE LIMITED,Vivo Mobile Phone,V2058(Y53s),Vivo Mobile Communications Co. Limited
89,BAI ZHENG DEVICE LIMITED,BAI ZHENG DEVICE NIGERIA LIMITED,VIVO MOBILE PHONE,VIVO 1820 (Y91C),VIVO MOBILE COMMUNICATION CO. LTD
90,BAI ZHENG DEVICE LIMITED,BAI ZHENG DEVICE LIMITED,Vivo Mobile Phone,Vivo 1901 (Y15) | Vivo 1902 (Y17),Vivo Mobile Communications Co. Limited
91,BAI ZHENG DEVICE LIMITED,BAI ZHENG DEVICE LIMITED,Vivo Mobile Phone,Vivo 1904 (Y12),Vivo Mobile Communications Co. Limited
92,BAI ZHENG DEVICE LIMITED,BAI ZHENG DEVICE LIMITED,MOBILE PHONE,VIVO 1906,"VIVO MOBILE COMMUNICATIONS CO., LTD"
93,BAI ZHENG DEVICE LIMITED,BAI ZHENG DEVICE LIMITED,VIVO,VIVO 1908(Y90),"VIVO MOBILE COMMUNICATIONS CO., LTD"
94,BAI ZHENG DEVICE LIMITED,BAI ZHENG DEVICE LIMITED,Vivo Mobile Phone,Vivo 1910 (V17 Pro),Vivo Mobile Communications Co. Limited
95,BAI ZHENG DEVICE LIMITED,BAI ZHENG DEVICE NIGERIA LIMITED,VIVO MOBILE PHONE,VIVO 2015(Y1S)|VIVO 1938(Y30),VIVO MOBILE COMMUNICATION CO. LTD
96,BAI ZHENG DEVICE LIMITED,BAI ZHENG DEVICE NIGERIA LIMITED,VIVO MOBILE PHONE,VIVO 2025(V20),VIVO MOBILE COMMUNICATION CO. LTD
97,BAI ZHENG DEVICE LIMITED,BAI ZHENG DEVICE NIGERIA LIMITED,VIVO MOBILE PHONE,VIVO 2026(Y12S),VIVO MOBILE COMMUNICATION CO. LTD
98,BAI ZHENG DEVICE LIMITED,BAI ZHENG DEVICE NIGERIA LIMITED,VIVO MOBILE PHONE,VIVO 2027(Y20),VIVO MOBILE COMMUNICATION CO. LTD
99,BAI ZHENG DEVICE LIMITED,BAI ZHENG DEVICE LIMITED,Vivo Mobile Phone,Vivo 2035(Y51),Vivo Mobile Communications Co. Limited
100,BAI ZHENG DEVICE LIMITED,BAI ZHENG DEVICE LIMITED,Vivo Mobile Phone,Vivo 2118 (Y01),Vivo Mobile Communications Co. Limited
101,BAI ZHENG DEVICE LIMITED,BAI ZHENG DEVICE LIMITED,Vivo Mobile Phone,Vivo 2120 (Y15s),Vivo Mobile Communications Co. Limited
102,BAI ZHENG DEVICE LIMITED,BAI ZHENG DEVICE LIMITED,Vivo Mobile Phone,Vivo 2130 (v23),Vivo Mobile Communications Co. Limited
103,BAI ZHENG DEVICE LIMITED,BAI ZHENG DEVICE LIMITED,Vivo Mobile Phone,Vivo V23e (V2116),Vivo Mobile Communications Co. Limited
104,BAI ZHENG DEVICE LIMITED,BAI ZHENG DEVICE LIMITED,Vivo Mobile Phone,Vivo Y21 (V2111)_Vivo Y33s (V2109),Vivo Mobile Communications Co. Limited
105,BAI ZHENG DEVICE LIMITED,BAI ZHENG DEVICE LIMITED,Vivo Mobile Phone,Vivo21(v2066),Vivo Mobile Communications Co. Limited
106,BAI ZHENG DEVICE LIMITED,BAI ZHENG DEVICE LIMITED,Vivo Mobile Phone,Vivo21e(v2061),Vivo Mobile Communications Co. Limited
107,BAYBENDER LIMITED,TCL COMMUNICATION LTD.,BLACKBERRY MOBILE PHONE,"BBF100-6,BBB100-5,BBE100-4,BBD100-6",TCL COMMUNICATION LTD.
108,BE PHONE NIGERIA LIMITED,LG ELECTRONICS INC.,GLOBACOM DUAL SIM SMART PHONE,AW550,LONGCHEER TECHNOLOGY (SHANGHAI) CO. LTD
109,BE PHONE NIGERIA LIMITED,BE PHONE NIGERIA LIMITED,BE GSM MOBILE PHONE,AW710,LONGCHEER TECHNOLOGY (SHANGHAI) CO. LTD
110,BE PHONE NIGERIA LIMITED,BE PHONE NIGERIA LIMITED,BE.ELITE MOBILE PHONE,AW880,LONGCHEER TELECOMMUNICATIONS LTD
111,BE PHONE NIGERIA LIMITED,BE PHONE NIGERIA LIMITED,GSM SMARTPHONE,BE ELITE 2 (EL020),EMITAC MOBILE SOLUTIONS
112,BE PHONE NIGERIA LIMITED,BE PHONE NIGERIA LIMITED,GSM SMARTPHONE,BE UNITED 2 (UN020),EMITAC MOBILE SOLUTIONS
113,BE PHONE NIGERIA LIMITED,BE PHONE NIGERIA LIMITED,B. UNITED GSM PHONE,DM903,"SHENZHEN BLEPHONE TECHNOLOGY CO., LTD"
114,BE PHONE NIGERIA LIMITED,BE PHONE NIGERIA LIMITED,WIKO GSM SMART PHONE,FIZZ & HIGHWAY,TINNO MOBILE TECHNOLGY CORP
115,BE PHONE NIGERIA LIMITED,BE PHONE NIGERIA LIMITED,WIKO GSM SMART PHONE,WIKO GETAWAY,TINNO MOBILE TECHNOLOGY CORP
116,BE PHONE NIGERIA LIMITED,BE PHONE NIGERIA LIMITED,WIKO GSM SMART PHONE,WIKO RIDGE 4G,TINNO MOBILE TECHNOLOGY CORP
117,BE PHONE NIGERIA LIMITED,BE PHONE NIGERIA LIMITED,WIKO-BLOOM,WIKO-BLOOM SMART PHONE,TINNO MOBILE TECHNOLOGY CORP
118,BE PHONE NIGERIA LIMITED,BE PHONE NIGERIA LIMITED,GSM MOBILE PHONE,WIKO-HIGHWAY SIGNS,TINNO MOBILE TECHNOLOGY CORP
119,BE PHONE NIGERIA LIMITED,BE PHONE NIGERIA LIMITED,WIKO-KAR3,WIKO-KAR3 FEATURE PHONE,TINNO MOBILE TECHNOLOGY CORP
120,BE PHONE NIGERIA LIMITED,BE PHONE NIGERIA LIMITED,WIKO-LENNY,WIKO-LENNY SMART PHONE,TINNO MOBILE TECHNOLOGY CORP
121,BE PHONE NIGERIA LIMITED,BE PHONE NIGERIA LIMITED,WIKO-LUIB3,WIKO-LUIB3 FEATURE PHONE,TINNO MOBILE TECHNOLOGY CORP
122,BE PHONE NIGERIA LIMITED,BE PHONE NIGERIA LIMITED,WIKO-RAINBOW,WIKO-RAINBOW SMART PHONE,TINNO MOBILE TECHNOLOGY CORP
123,BE PHONE NIGERIA LIMITED,BE PHONE NIGERIA LIMITED,WIKO-RIFF,WIKO-RIFF FEATURE PHONE,TINNO MOBILE TECHNOLOGY CORP
124,BELZAK HANS LIMITED,BELZAK HANS LIMITED,MOBILE PHONE,LUMIGON T2 HD,LUMIGON A/S
125,BE-MAN NIGERIA LIMITED,BE-MAN NIGERIA LIMITED,ZESTE MOBILE PHONE,Z1 Plus,"Lonton Information Technology (Heyuan) Co., Ltd"
126,BEST SERVICE RAYA DISTRIBUTION (NIG) LIMITED,BEST SERVICE RAYA DISTRIBUTION (NIG) LIMITED,MOBILE PHONE,CHAMPION N1,LAVA INTERNATIONAL (H.K) LIMITED/ LAVA INTERNATIONAL LTD INDIA
127,BEST SERVICE RAYA DISTRIBUTION (NIG) LIMITED,BEST SERVICE RAYA DISTRIBUTION (NIG) LIMITED,MOBILE PHONE,"LAVA CHAMPION P1, LAVA PRIME Z",LAVA INTERNATIONAL (H.K) LIMITED/ LAVA INTERNATIONAL LTD INDIA
128,BEST SERVICE RAYA DISTRIBUTION (NIG) LIMITED,BEST SERVICE RAYA DISTRIBUTION (NIG) LIMITED,MOBILE PHONE,"LAVA IRIS 42, LAVA Z50 PRO",LAVA INTERNATIONAL LTD
129,BEST SERVICE RAYA DISTRIBUTION (NIG) LIMITED,BEST SERVICE RAYA DISTRIBUTION (NIG) LIMITED,MOBILE PHONE,"LAVA IRIS 50 PRO,  LAVA CHAMPION 1",LAVA INTERNATIONAL (H.K) LIMITED/ LAVA INTERNATIONAL LTD INDIA
130,BEST SERVICE RAYA DISTRIBUTION (NIG) LIMITED,BEST SERVICE RAYA DISTRIBUTION (NIG) LIMITED,MOBILE PHONE,"LAVA IRIS 51( IRIS 51), LAVA Z81 (Z81), CHAMPION A1 (A1), CHAMPION C1(C1)",LAVA INTERNATIONAL (H.K) LIMITED
131,BEST SERVICE RAYA DISTRIBUTION (NIG) LIMITED,BEST SERVICE RAYA DISTRIBUTION (NIG) LIMITED,MOBILE PHONE,LAVA IRIS Z51 LAVA IRIS 52,LAVA INTERNATIONAL (H.K) LIMITED/ LAVA INTERNATIONAL LTD INDIA
132,BEST SERVICE RAYA DISTRIBUTION (NIG) LIMITED,BEST SERVICE RAYA DISTRIBUTION (NIG) LIMITED,MOBILE PHONE,"LAVA IRIS Z61, LAVA Z1(LE9820)",LAVA INTERNATIONAL LTD
133,BEST SERVICE RAYA DISTRIBUTION (NIG) LIMITED,BEST SERVICE RAYA DISTRIBUTION (NIG) LIMITED,MOBILE PHONE,LAVA PRIME X & Z92,LAVA INTERNATIONAL (H.K) LIMITED
134,BEST SERVICE RAYA DISTRIBUTION (NIG) LIMITED,BEST SERVICE RAYA DISTRIBUTION (NIG) LIMITED,MOBILE PHONE,LAVA Z93,LAVA INTERNATIONAL (H.K) LIMITED/ LAVA INTERNATIONAL LTD INDIA
135,BEST SERVICE RAYA DISTRIBUTION (NIG) LIMITED,BEST SERVICE RAYA DISTRIBUTION (NIG) LIMITED,MOBILE PHONE,LENOVO K9 (L38043),LENOVO MOBILE COMMUNICATION TECHNOLOGY LTD.
136,BEXEL WORLDWIDE COMPANY LTD,BEXEL WORLDWIDE COMPANY LIMITED,BEXEL A101,A101,SHENZHEN GOLDSTONE SCIENCE AND TECHNOLOGY
137,Bird Mobile,Bird Mobile,Bird 8288ï¿½ï¿½ï¿½,8288,METRONIX D.O.O.
138,BLACK AND PRECIOUS COMMUNICATIONS,BLACK & PRECIOUS COMMUNICATIONS,MOBILE PHONE,HONOR 7S( DUA-L22),HUAWEI TECHNOLOGY CO. LTD
139,BLACK AND PRECIOUS COMMUNICATIONS,AMAGET STORES LIMITED,MEIZU MOBILE PHONE,"M710H (M5C), M612H (M5S), M621H (M5 NOTE)",MEIZU TECHNOLOGY CO. LIMITED
140,BRIGHSTAR AFRICA TELCOM SOLUTIONS (PTY) LTD,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BLACKBERRY Q10 GSM MOBILE PHONE,RFN81UW (SQN 100-3),"RESEARCH IN MOTION, CANADA"
141,Bright Star Africa Telecom Solutions (Pty) Limited,Bright Star Africa Telecom Solutions (Pty) Limited,HTC Windows Mobile Phone,8x,"HTC Corporation, Taiwan"
142,BRIGHTSTAR AFRICA TELECOM SOLUTIONS (PTY) LTD,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BLACKBERRY GSM/WCDMA/LTE SMARTPHONE,BLACKBERRY SQW100-4 RHR191LW,BLACKBERRY LIMITED
143,BRIGHTSTAR AFRICA TELECOM SOLUTIONS (PTY) LTD,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BLACKBERRY GSM/WCDMA/LTE SMARTPHONE,BLACKBERRY STR100-1 (RHD 131 LW),BLACKBERRY LTD.
144,BRIGHTSTAR AFRICA TELECOM SOLUTIONS (PTY) LTD,BRIGHTSTAR AFRICA TELECOM SOLUTIONS,BLACKBERRY GSM/WCDMA/LTE SMARTPHONE,BLACKBERRY STV100-4 (RHM181LW),BLACKBERRY LIMITED
145,BRIGHTSTAR AFRICA TELECOM SOLUTIONS (PTY) LTD,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BLACKBERRY GSM/WCDMA SMARTPHONE,PASSPORT SQW100-1 (RGY181LW),BLACKBERRY LTD.
146,BRIGHTSTAR AFRICA TELECOM SOLUTIONS (PTY) LTD,BRIGHTSTAR AFRICA TELECOM SOLUTIONS (PTY) LTD,BLACKBERRY GSM/WCDMA/LTE SMARTPHONE,SQC100-1( RHH151LW),BLACKBERRY LTD.
147,BRIGHTSTAR AFRICA TELECOM SOLUTIONS (PTY) LTD,BRIGHTSTAR AFRICA TELECOM SOLUTIONS (PTY) LTD,BLACKBERRY GSM/WCDMA/LTE SMARTPHONE,SQC100-3(RHF141LW),BLACKBERRY LTD.
148,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BLACKBERRY MOBILE PHONE,7290,RESEARCH IN MOTION LIMITED(RIM)
149,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BLACKBERRY MOBILE PHONE,8100,RESEARCH IN MOTION LIMITED(RIM)
150,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BLACKBERRY MOBILE PHONE,8520,RESEARCH IN MOTION LIMITED(RIM)
151,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BLACKBERRY MOBILE PHONE,8800,RESEARCH IN MOTION LIMITED(RIM)
152,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BLACKBERRY MOBILE PHONE,9300,RESEARCH IN MOTION LIMITED(RIM)
153,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BLACKBERRY MOBILE PHONE,9500,RESEARCH IN MOTION LIMITED(RIM)
154,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BLACKBERRY MOBILE PHONE,9520,RESEARCH IN MOTION LIMITED(RIM)
155,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BLACKBERRY MOBILE PHONE,9800,RESEARCH IN MOTION LIMITED(RIM)
156,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BLACKBERRY MOBILE PHONE,8300 NOKIA,RESEARCH IN MOTION LIMITED(RIM)
157,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BLACKBERRY MOBILE PHONE,8100G,RESEARCH IN MOTION LIMITED(RIM)
158,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,Blackberry  MOBILE PHONE,8300 Nokia,Research in Motion Limited(RIM)
159,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BLACKBERRY MOBILE PHONE,8320 SMART?PHONE,RESEARCH IN MOTION LIMITED(RIM)
160,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BLACKBERRY MOBILE PHONE,8700G,RESEARCH IN MOTION LIMITED(RIM)
161,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BLACKBERRY MOBILE PHONE,8820 SMART?PHONE,RESEARCH IN MOTION LIMITED(RIM)
162,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BLACKBERRY MOBILE PHONE,8830 SMART?PHONE,RESEARCH IN MOTION LIMITED(RIM)
163,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BLACKBERRY MOBILE PHONE,8900 (RBZ41GW),RESEARCH IN MOTION LIMITED(RIM)
164,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BRIGHTSTAR AFRICA TELECOM(PTY) SOLUTIONS LTD,BLACKBERRY GSM SMART PHONE,9220(REW41GW),RESEARCH IN MOTION (BLACKBERRY)
