S/N,APPLICANT NAME,CERTIFICATE HOLDER,EQUIPMENT NAME,MODELS,MANUFACTURER
1440,NOKIA WEST AFRICA (NIGERIA) LIMITED,NOKIA WEST AFRICA (NIGERIA) LIMITED,NOKIA GSM MOBILE PHONE,X3-02,NOKIA CORPORATION
1441,NOKIA WEST AFRICA(NIGERIA) LIMITED,NOKIA WEST AFRICA(NIGERIA) LIMITED,NOKIA MOBILE PHONE,200,NOKIA CORPORATION
1442,NOKIA WEST AFRICA(NIGERIA) LIMITED,NOKIA WEST AFRICA(NIGERIA) LIMITED,NOKIA MOBILE PHONE,300,NOKIA CORPORATION
1443,NOKIA WEST AFRICA(NIGERIA) LIMITED,NOKIA WEST AFRICA(NIGERIA) LIMITED,NOKIA MOBILE PHONE,303,NOKIA CORPORATION
1444,NOKIA WEST AFRICA(NIGERIA) LIMITED,NOKIA WEST AFRICA(NIGERIA) LIMITED,NOKIA MOBILE PHONE,603,NOKIA CORPORATION
1445,NOKIA WEST AFRICA(NIGERIA) LIMITED,NOKIA WEST AFRICA(NIGERIA) LIMITED,GSM HANDSET,"103, TYPE RM-647",NOKIA WEST FRICA LIMITED
1446,NOKIA WEST AFRICA(NIGERIA) LIMITED,NOKIA WEST AFRICA(NIGERIA) LIMITED,NOKIA MOBILE PHONE,2720 FOLD,NOKIA CORPORATION
1447,NOKIA WEST AFRICA(NIGERIA) LIMITED,NOKIA WEST AFRICA(NIGERIA) LIMITED,NOKIA MOBILE PHONE,ASHA 503 (RM-920),NOKIA CORPORATION
1448,NOKIA WEST AFRICA(NIGERIA) LIMITED,NOKIA WEST AFRICA(NIGERIA) LIMITED,NOKIA MOBILE PHONE,ASHA 503 DUAL SIM (RM-922),NOKIA CORPORATION
1449,NOKIA WEST AFRICA(NIGERIA) LIMITED,NOKIA WEST AFRICA(NIGERIA) LIMITED,NOKIA MOBILE PHONE,C3-02.5,NOKIA CORPORATION
1450,NOKIA WEST AFRICA(NIGERIA) LIMITED,NOKIA WEST AFRICA(NIGERIA) LIMITED,NOKIA MOBILE PHONE,C5-06,NOKIA CORPORATION
1451,NOKIA WEST AFRICA(NIGERIA) LIMITED,NOKIA WEST AFRICA(NIGERIA) LIMITED,MICROSOFT GSM MOBILE PHONE,LUMIA 535 TYPE: RM-1090,MICROSOFT MOBILE OY
1452,NOKIA WEST AFRICA(NIGERIA) LIMITED,NOKIA WEST AFRICA(NIGERIA) LIMITED,MICROSOFT MOBILE PHONES,"LUMIA 730(RM-1040), LUMIA830 (RM-984) & NOKIA130 (RM-1035)",NOKIA CORPORATION
1453,NOKIA WEST AFRICA(NIGERIA) LIMITED,NOKIA WEST AFRICA(NIGERIA) LIMITED,NOKIA MOBILE PHONE,N97 MINI,NOKIA CORPORATION
1454,NOKIA WEST AFRICA(NIGERIA) LIMITED,NOKIA WEST AFRICA(NIGERIA) LIMITED,NOKIA MOBILE PHONE,X2-00,NOKIA CORPORATION
1455,NTA STAR TV NETWORK LTD,T O AINA AND ASSOCIATES,LENOVO MOBILE PHONE,A2010-A,LENOVO PC HK LIMITED
1456,NTA STAR TV NETWORK LTD,T O AINA AND ASSOCIATES,LENOVO MOBILE PHONE,A6010,LENOVO PC HK LIMITED
1457,NTA STAR TV NETWORK LTD,T O AINA AND ASSOCIATES,LENOVO GSM MOBILE PHONE,"LENOVO VIBE D(A6020A40), LENOVO VIBE D PLUS (A6020A46)",LENOVO PC HK LIMITED
1458,NTA Star TV Network Ltd,NTA-STAR TV Network Ltd,K-Touch and Startimes Move,M35,Beijing Benywave technology Co. ltd
1459,NTA STAR TV NETWORK LTD,NTA-STAR TV NETWORK LTD,STARTIME DUAL SIM GSM PHONE,M50,TECNO TECHNOLOGY CO. LTD
1460,NTA STAR TV NETWORK LTD,T O AINA AND ASSOCIATES,MOTOROLA MOBILE PHONE,MOTO G5 - DANTE (XT1563),MOTOROLA MOBILITY LLC
1461,NTA STAR TV NETWORK LTD,T O AINA AND ASSOCIATES,MOTOROLA MOBILE PHONE,"MOTO G5 (XT-1685), MOTO C 3G (XT-1750)",MOTOROLA MOBILITY LLC
1462,NTA STAR TV NETWORK LTD,NTA-STAR TV NETWORK LTD,STARTIMES MOBILE PHONE,P40,SHENZHEN WINDOW DIGITAL ELECTRONICS CO. LTD & CELLON COMMUNICATIONS TECHNOLOGY (SHENZHEN) CO. LTD
1463,NTA STAR TV NETWORK LTD,T.O AINA AND ASSOCIATES,LENOVO GSM MOBILE PHONE,P70-A,LENOVO PC HK LIMITED
1464,NTA STAR TV NETWORK LTD,T O AINA AND ASSOCIATES,LENOVO SMART PHONE,P90,LENOVO PC HK LIMITED
1465,NTA STAR TV NETWORK LTD,NTA-STAR TV NETWORK LTD,STARTIME MOVE DUAL SIM GSM PHONE,S100,Z.T.S INTERNATIONAL INDUSTRIAL CO. LTD
1466,NTA STAR TV NETWORK LTD,NTA STAR TV NETWORK LTD,STARTIME GSM MOBILE PHONE,SOLAR 5,ZTS INTERNATIONAL CO. LTD
1467,NTA STAR TV NETWORK LTD,T O AINA AND ASSOCIATES,LENOVO GSM MOBILE PHONE,VIBE K5(A6020A41),LENOVO PC HK LIMITED
1468,NUMA MOBILE LIMITED,NUMA MOBILE LIMITED,NUMA GSM MOBILE PHONE,RUCKR5,"SHENZHEN AAPPAA TECHNOLOGY CO., LTD CHINA"
1469,OACO ENTERPRISES,DELL INC,PORTABLE COMPUTER,P138G,DELL INC
1470,OAKLANDS AND JOHNSON LIMITED,ASUS GLOBAL PTE. LTD,MOBILE PHONES,"ASUS Z00SD, ASUS Z00UD, ASUS Z00LD & ASUS Z00VD","DONGGUAN XINHENG ELECTRONIC & TECHNOLOGY CO. LTD, CHINA"
1471,ONE STOP TECHNOLOGIES LIIMITED,ONE STOP TECHNOLOGIES LIMITED,DUAL SIM GSM MOBILE PHONE,LP100,"KAILONG MOBILE COMMUNICATIONS CO., LTD"
