S/N,APPLICANT NAME,CERTIFICATE HOLDER,EQUIPMENT NAME,MODELS,MANUFACTURER
5202,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,"PANASONIC CONNECT CO., LTD",PERSONAL COMPUTER,FZ-55,"PANASONIC CONNECT CO., LTD"
5203,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,PRIMAX ELECTRONICS LTD.,WIRELESS MOUSE WITH USB,MORFN6O,PRIMAX ELECTRONICS LTD.
5204,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,QUALCOMM TECHNOLOGIES INC.,WI-FI 6E BT 5.2 M.2 1418 MODULE,QCNFA725,QUALCOMM TECHNOLOGIES INC.
5205,Resonance Compliance International Limited,Samsung Electronics Co. Ltd.,Samsung SoundBar,HW-N300,Samsung Electronics Co. Ltd.
5206,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,SCHRADER ELECTRONICS LTD,TYRE PRESSURE MONITORING SENSOR,BG2BP4,SCHRADER ELECTRONICS LTD.
5207,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,SEIKO EPSON CORPORATION,LCD PROJECTOR WITH RF MODULES WLU5000-D101(ROHS) AND WN7122BEP,H796B (EB-1795F),SEIKO EPSON CORPORATION
5208,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,SEIKO EPSON CORPORATION,NFC MODULE,HA33NFC,SEIKO EPSON CORPORATION
5209,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,SEIKO EPSON CORPORATION,REMOTE CONTROLLER,RC4261804,SEIKO EPSON CORPORATION
5210,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,SEIKO EPSON CORPORATION,STREAMING MEDIA PLAYER,STI6110B (ELPAP12),SEIKO EPSON CORPORATION
5211,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,SEIKO EPSON CORPORATION,REMOTE CONTROLLER,WH-55,SEIKO EPSON CORPORATION
5212,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,SEIKO EPSON CORPORATION,REMOTE CONTROLLER,WH-5674,SEIKO EPSON CORPORATION
5213,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,SEIKO EPSON CORPORATION,REMOTE CONTROLLER,WH-6925,SEIKO EPSON CORPORATION
5214,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,SEIKO EPSON CORPORATION,WLAN/ BT MODULE,STI6200B,SEIKO EPSON CORPORATION
5215,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,"SERONICS CO., LTD",SCREEN MIRRORING DEVICE,SC-00DA,"SERONICS CO., LTD"
5216,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,"SHANGHAI SUNMI TECHNOLOGY CO.,LTD",SMART POS SYSTEM,W6900,"SHANGHAI SUNMI TECHNOLOGY CO.,LTD."
5217,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,SHURE INCORPORATED,WIRELESS BODYPACK MICROPHONE,GLXD1 Z4,SHURE INCORPORATED
5218,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,SHURE INCORPORATED,WIRELESS HANDHELD MICROPHONE,GLXD2 Z4,SHURE INCORPORATED
5219,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,SHURE INCORPORATED,WIRELESS PORTABLE RECEIVER,GLXD4  Z4,SHURE INCORPORATED
5220,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,SHURE INCORPORATED,WIRELESS RACK-MOUNT RECEIVER,GLXD4R  Z4,SHURE INCORPORATED
5221,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,SHURE INCORPORATED,WIRELESS FOOTPEDAL RECEIVER,GLXD6  Z4,SHURE INCORPORATED
5222,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,ST ENGINEERING IDIRECT,SATELLITE MODEM,MDM-2010,ST ENGINEERING IDIRECT
5223,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,"TAIZHOU LG ELECTRONICS REFRIGERATION CO., LTD.",REFRIGERATOR-FREEZER WITH RF LCW-010,GC-J257SLRS,"TAIZHOU LG ELECTRONICS REFRIGERATION CO., LTD."
5224,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,"TAIZHOU LG ELECTRONICS REFRIGERATION CO., LTD.",REFRIGERATOR-FREEZER WITH RF LCW-011,GC-L257SLRL,"TAIZHOU LG ELECTRONICS REFRIGERATION CO., LTD."
5225,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,"TAIZHOU LG ELECTRONICS REFRIGERATION CO.,LTD.",REFRIGERATOR-FREEZER WITH RF MODULE LCW-007,GC-X22FTQLL,"TAIZHOU LG ELECTRONICS REFRIGERATION CO.,LTD."
5226,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,"TAIZHOU LG ELECTRONICS REFRIGERATION CO.,LTD.",REFRIGERATOR-FREEZER WITH RF MODULE LCW-010,GC-X257CSES,"TAIZHOU LG ELECTRONICS REFRIGERATION CO.,LTD."
5227,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,"THALES DIS CPL USA, INC.","HARDWARE SECURITY MODULES, PAYSHIELD 10K","PS10-S, PS10-D & PS10-F","THALES DIS CPL USA, INC."
5228,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,TRIMBLE,GUIDANCE CONTROLLER,117180-99,TRIMBLE INC.
5229,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,TRIMBLE,DISPLAY SYSTEM (7INCH),124000-99,TRIMBLE INC.
5230,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,TRIMBLE,DISPLAY SYSTEM (10INCH),134000-99,TRIMBLE INC.
5231,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,TRIMBLE,GUIDANCE CONTROLLER,NAV-900,TRIMBLE INC.
5232,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,"WHST CO., LTD.",SHORT RANGE RADAR,STA79-2,"WHST CO., LTD."
5233,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,ZEBRA TECHNOLOGIES CORPORATION,THERMAL BARCODE PRINTER,ZT231,ZEBRA TECHNOLOGIES CORPORATION
5234,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,ZEBRA TECHNOLOGIES CORPORATION,THERMAL BARCODE PRINTER,ZT111,ZEBRA TECHNOLOGIES CORPORATION
